Role,Years_of_Experience,Involvement_in_ProjectPhase,Frequency_of_Involvement,Communication_Effectiveness,Frequency_of_CollaborativeActivities,CommonCollaboration Patterns,WorkAtmosphere,RequirementClarity,RequirementClarificationEffectiveness,Challenges_in_DefiningRequirements,SkillGapIdentification Frequency,CompetencyImprovementEffectiveness,Challenges_in_CompetencyAlignment,Commitment_ Users,Commitment_Developers,Commitment_Managers,Commitment_Architects,Commitment_Technical Staff,Deadline FulfillmentFrequency,ChangeAdaptationEffectiveness,ChangeHandlingEfficiency,ProjectGoalsCommunicationClarity,Challenges_to_SharedVision,Ministry
Technical Staff,Less than 1 year,Requirement Gathering,Weekly,Very Effective,Rarely,Regular feedback sessions,Strongly Disagree,Often,Neutral,"Misaligned goals, Unclear requirements from stakeholders, Technical terms used leading to confusion, Resistance to change",Often,Strongly Agree,"Time constraints, Lack of training, Limited resources, Resistance to change",5,2,5,4,4,Sometimes,Very Well,Strongly Agree,Very Clearly,"Lack of documentation, Misaligned goals",Ministry of Education
Technical Staff,1-3 years,Testing,Weekly,Neutral,Daily,"Cross-functional team meetings, Regular feedback sessions",Disagree,Sometimes,Ineffective,"Lack of involvement from users, Technical terms used leading to confusion, Misaligned goals, Unclear requirements from stakeholders",Rarely,Disagree,"Resistance to change, Limited resources, Time constraints",2,1,5,5,5,Never,Neutral,Strongly Agree,Unclear,"Poor communication tools, Misaligned goals, Inconsistent leadership",Ministry of Education
Technical Staff,Less than 1 year,Maintenance,Weekly,Very Effective,Monthly,Informal discussions,Strongly Agree,Always,Very Effective,"Lack of involvement from users, Technical terms used leading to confusion, Misaligned goals, Resistance to change",Often,Agree,"Limited resources, Time constraints, Resistance to change, Lack of training",5,3,4,3,2,Rarely,Very Poorly,Neutral,Very Clearly,"Inconsistent leadership, Misaligned goals",Ministry of Agriculture
Architect,3-5 years,Requirement Gathering,Daily,Neutral,Weekly,"Informal discussions, Regular feedback sessions",Strongly Agree,Always,Very Ineffective,"Lack of involvement from users, Unclear requirements from stakeholders, Misaligned goals, Technical terms used leading to confusion, Resistance to change, Resistance to change",Sometimes,Strongly Agree,"Lack of training, Limited resources, Resistance to change, Time constraints",4,2,4,4,2,Sometimes,Very Well,Disagree,Very Clearly,Misaligned goals,Ministry of Information Technology
Manager,1-3 years,Testing,Monthly,Neutral,Rarely,"Informal discussions, Clear documentation and resource sharing, Cross-functional team meetings",Disagree,Always,Effective,"Unclear requirements from stakeholders, Misaligned goals, Technical terms used leading to confusion, Lack of involvement from users, Resistance to change",Always,Strongly Agree,"Lack of training, Limited resources, Resistance to change",2,5,5,5,1,Sometimes,Poorly,Neutral,Clearly,"Misaligned goals, Poor communication tools, Lack of documentation",Ministry of Information Technology
Technical Staff,More than 5 years,Testing,Weekly,Neutral,Weekly,Informal discussions,Agree,Always,Neutral,"Misaligned goals, Technical terms used leading to confusion, Unclear requirements from stakeholders, Lack of involvement from users, Resistance to change",Often,Strongly Agree,Limited resources,4,4,2,4,2,Often,Well,Strongly Agree,Clearly,"Inconsistent leadership, Poor communication tools, Lack of documentation, Misaligned goals",Ministry of Education
Developer,More than 5 years,Development,Daily,Effective,Monthly,"Informal discussions, Clear documentation and resource sharing, Regular feedback sessions, Cross-functional team meetings",Agree,Always,Very Ineffective,"Lack of involvement from users, Technical terms used leading to confusion, Misaligned goals, Unclear requirements from stakeholders, Resistance to change",Sometimes,Disagree,"Resistance to change, Limited resources",3,4,4,5,1,Never,Well,Neutral,Neutral,"Misaligned goals, Inconsistent leadership",Ministry of Education
Manager,Less than 1 year,Development,Monthly,Effective,Daily,Cross-functional team meetings,Disagree,Sometimes,Very Ineffective,"Unclear requirements from stakeholders, Lack of involvement from users, Resistance to change",Rarely,Strongly Agree,Limited resources,4,2,2,1,1,Always,Very Poorly,Agree,Neutral,"Lack of documentation, Poor communication tools, Inconsistent leadership",Ministry of Information Technology
Architect,More than 5 years,Maintenance,Daily,Neutral,Monthly,Clear documentation and resource sharing,Agree,Sometimes,Effective,"Lack of involvement from users, Misaligned goals",Sometimes,Strongly Agree,"Resistance to change, Limited resources, Lack of training",5,3,2,5,2,Always,Poorly,Disagree,Very Clearly,Poor communication tools,Ministry of Information Technology
Developer,1-3 years,Development,Daily,Very Effective,Weekly,Regular feedback sessions,Strongly Agree,Always,Neutral,"Lack of involvement from users, Resistance to change",Rarely,Strongly Agree,"Resistance to change, Time constraints, Lack of training, Limited resources",5,5,2,5,2,Often,Neutral,Strongly Agree,Unclear,"Poor communication tools, Lack of documentation, Inconsistent leadership",Ministry of Education
